addressLine1,city,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,ownerOccupied,latest_assessment_value,has_cooling,has_garage,has_pool,unit_count,floor_count,exterior_type,roof_type,latest_property_tax,target_price,property_age,price_per_sqft,lot_to_building_ratio,bed_bath_ratio
16480 Sw 137th Ave,Miami,33177,25.613821,-80.415738,Apartment,1.0,1.0,806.0,50000.0,2014.0,False,80440000.0,True,False,False,50,1.0,Stucco,Tile,1046957.0,80440000.0,11.0,,62.03473945409429,1.0
13770 Sw 143rd St,Miami,33186,25.634572,-80.417336,Multi-Family,10.0,10.0,10000.0,50000.0,2015.0,False,66110000.0,True,False,False,11,2.0,Stucco,Metal,918293.0,66110000.0,10.0,,5.0,1.0
12755 Sw 136th St,Miami,33186,25.642514,-80.399661,Apartment,1.0,1.0,732.0,50000.0,2016.0,False,59250000.0,True,False,True,36,3.0,Stucco,Tile,885792.0,59250000.0,9.0,,68.30601092896175,1.0
7325 Sw 82nd St,Miami,33143,25.694633,-80.312426,Apartment,1.0,1.0,630.0,50000.0,1967.0,False,39025130.0,True,False,False,8,2.0,Concrete Block / Stucco,Tile,441288.0,39025130.0,58.0,,79.36507936507937,1.0
2700 Sw 23rd Ter,Miami,33145,25.747138,-80.23847,Multi-Family,10.0,10.0,10000.0,38817.0,2015.0,False,32700000.0,True,True,False,50,11.0,Concrete,Built-up,569361.0,32700000.0,10.0,,3.8817,1.0
10730 Sw 151st St,Miami,33176,25.628645,-80.367194,Single Family,2.0,1.0,1566.0,7875.0,1958.0,False,392174.0,False,True,False,1,1.0,Concrete Block,Other,6571.0,392174.0,67.0,250.43039591315454,5.028735632183908,2.0
14964 Sw 75th Ter,Miami,33193,25.696229,-80.434977,Single Family,3.0,2.0,1406.0,2826.0,1992.0,False,312864.0,False,False,False,1,1.0,Stucco,Other,6049.0,312864.0,33.0,222.52062588904695,2.0099573257467993,1.5
810 Sw 23rd Rd,Miami,33129,25.761423,-80.209655,Single Family,3.0,2.0,1800.0,6650.0,1941.0,False,838027.0,False,False,False,1,1.0,Concrete Block,Other,13291.0,838027.0,84.0,465.57055555555553,3.6944444444444446,1.5
10350 Sw 118th St,Miami,33176,25.659154,-80.362647,Single Family,3.0,2.0,1799.0,15128.0,1969.0,True,746673.0,False,True,False,1,1.0,Concrete Block,Other,11859.0,746673.0,56.0,415.0489160644803,8.409116175653141,1.5
3055 Nw 13th St,Miami,33125,25.785761,-80.244333,Single Family,3.0,3.0,3492.0,21150.0,1954.0,False,850828.0,False,True,True,1,1.0,Concrete Block,Other,16180.0,850828.0,71.0,243.65063001145475,6.056701030927835,1.0
9274 Sw 21st Ter,Miami,33165,25.749339,-80.345182,Single Family,3.0,2.0,1432.0,7500.0,1972.0,False,488133.0,False,True,False,1,1.0,Concrete Block,Other,7912.0,488133.0,53.0,340.875,5.237430167597766,1.5
1192 Nw 134th Pl,Miami,33182,25.782243,-80.413332,Single Family,3.0,2.0,1561.0,6363.0,1997.0,False,530346.0,False,False,True,1,1.0,Concrete Block,Other,8601.0,530346.0,28.0,339.747597693786,4.076233183856503,1.5
1010 Sw 2nd Ave,Miami,33130,25.764078,-80.197809,Condo,2.0,2.0,940.0,7500.0,2016.0,False,457930.0,False,False,False,1,1.0,Concrete Block,Other,7886.0,457930.0,9.0,487.1595744680851,7.9787234042553195,1.0
9330 Sw 88th Ter,Miami,33176,25.686898,-80.346533,Single Family,3.0,2.0,2378.0,10000.0,1967.0,True,394305.0,False,False,False,1,1.0,Stucco,Other,6698.0,394305.0,58.0,165.81370899915896,4.205214465937763,1.5
10745 Sw 168th Ter,Miami,33157,25.612903,-80.366833,Single Family,4.0,3.0,2550.0,14240.0,1975.0,True,562137.0,False,True,False,1,1.0,Stucco,Other,10260.0,562137.0,50.0,220.44588235294117,5.584313725490196,1.3333333333333333
710 Sw 114th Ave,Miami,33174,25.762101,-80.380811,Condo,2.0,2.5,1260.0,7500.0,1986.0,False,299257.0,False,False,False,1,1.0,Concrete Block,Other,4845.0,299257.0,39.0,237.50555555555556,5.9523809523809526,0.8
14526 Kendale Lakes Blvd,Miami,33183,25.690664,-80.428844,Single Family,4.0,2.0,1909.0,9350.0,1972.0,False,567824.0,False,True,False,1,1.0,Concrete Block,Other,9393.0,567824.0,53.0,297.4457831325301,4.897852278679937,2.0
750 Nw 43rd Ave,Miami,33126,25.779791,-80.266614,Condo,2.0,1.0,685.0,7500.0,1974.0,False,167860.0,False,False,False,1,1.0,Concrete Block,Other,3285.0,167860.0,51.0,245.05109489051094,10.94890510948905,2.0
6160 Sw 63rd Ave,Miami,33143,25.713308,-80.296215,Single Family,3.0,2.0,1488.0,10110.0,1955.0,False,730024.0,False,False,False,1,1.0,Concrete Block,Other,12440.0,730024.0,70.0,490.60752688172045,6.794354838709677,1.5
10131 Sw 118th Ct,Miami,33186,25.673892,-80.387311,Single Family,3.0,2.0,1622.0,3011.0,1987.0,False,407356.0,False,True,False,1,2.0,Stucco,Other,7512.0,407356.0,38.0,251.1442663378545,1.8563501849568433,1.5
4250 Biscayne Blvd,Miami,33137,25.815609,-80.189226,Condo,2.0,2.0,1317.0,7500.0,2015.0,False,657660.0,False,False,False,1,1.0,Concrete Block,Other,12009.0,657660.0,10.0,499.3621867881549,5.694760820045558,1.0
8001 Nw 7th St,Miami,33126,25.777509,-80.324449,Condo,2.0,2.5,935.0,7500.0,1985.0,True,229505.0,False,False,False,1,1.0,Concrete Block,Other,3373.0,229505.0,40.0,245.45989304812835,8.02139037433155,0.8
14739 Sw 142nd St,Miami,33196,25.635355,-80.432192,Single Family,3.0,2.0,1650.0,5223.0,1995.0,False,481987.0,False,True,False,1,1.0,Concrete Block,Other,8167.0,481987.0,30.0,292.11333333333334,3.1654545454545455,1.5
480 Ne 31st St,Miami,33137,25.806199,-80.186723,Condo,2.0,2.0,1057.0,7500.0,2019.0,False,811600.0,False,False,False,1,1.0,Concrete Block,Other,16259.0,811600.0,6.0,767.833491012299,7.095553453169347,1.0
18116 Sw 154th Pl,Miami,33187,25.598101,-80.443854,Single Family,3.0,2.0,1472.0,7813.0,2000.0,False,473359.0,False,True,False,1,1.0,Concrete Block,Other,7723.0,473359.0,25.0,321.5754076086956,5.307744565217392,1.5
1060 Brickell Ave,Miami,33131,25.763279,-80.192195,Condo,2.0,2.5,1368.0,7500.0,2008.0,True,559000.0,False,False,False,1,1.0,Concrete Block,Other,9613.0,559000.0,17.0,408.62573099415204,5.482456140350878,0.8
730 Sw 20th Rd,Miami,33129,25.762801,-80.20688,Single Family,2.0,1.0,1025.0,6750.0,1950.0,False,837427.0,False,False,False,1,1.0,Concrete Block,Other,13895.0,837427.0,75.0,817.0019512195122,6.585365853658536,2.0
12680 Nw 9th Way,Miami,33182,25.778563,-80.400459,Single Family,4.0,2.0,1890.0,2424.0,1995.0,False,411204.0,False,True,False,1,2.0,Stucco,Other,6965.0,411204.0,30.0,217.56825396825397,1.2825396825396826,2.0
13776 Sw 145th Ter,Miami,33186,25.631841,-80.416528,Single Family,4.0,2.5,2084.0,7585.0,1993.0,False,581959.0,False,True,False,1,2.0,Stucco,Other,8951.0,581959.0,32.0,279.2509596928983,3.6396353166986564,1.6
11315 Sw 158th Ct,Miami,33196,25.663033,-80.451656,Single Family,3.0,2.0,1816.0,3859.0,1989.0,True,399182.0,False,True,False,1,2.0,Stucco,Other,6845.0,399182.0,36.0,219.81387665198238,2.125,1.5
1200 Brickell Bay Dr,Miami,33131,25.761804,-80.190589,Condo,1.0,1.0,825.0,7500.0,2005.0,False,192797.0,False,False,False,1,1.0,Concrete Block,Other,4206.0,192797.0,20.0,233.69333333333333,9.090909090909092,1.0
21 Sw 129th Ave,Miami,33184,25.767707,-80.404408,Single Family,3.0,3.0,3237.0,43424.0,1980.0,False,1244203.0,False,False,False,1,1.0,Stucco,Other,19507.0,1244203.0,45.0,384.3691689836268,13.41489033055298,1.0
18204 Sw 143rd Pl,Miami,33177,25.598285,-80.425552,Single Family,3.0,2.0,1169.0,4600.0,2000.0,False,403307.0,False,False,False,1,1.0,Concrete Block,Other,7037.0,403307.0,25.0,345.0017108639863,3.9349871685201028,1.5
14004 Sw 154th St,Miami,33177,25.624364,-80.420385,Single Family,5.0,3.0,2817.0,5000.0,2002.0,False,604405.0,False,True,False,1,2.0,Stucco,Other,9370.0,604405.0,23.0,214.5562655307064,1.774937877174299,1.6666666666666667
10850 Sw 67th Dr,Miami,33173,25.706727,-80.370331,Single Family,3.0,2.0,1469.0,9000.0,1972.0,False,491929.0,False,False,False,1,1.0,Concrete Block,Other,8217.0,491929.0,53.0,334.87338325391426,6.126616746085773,1.5
1875 Ne 207th St,Miami,33179,25.967369,-80.164457,Single Family,3.0,2.0,1781.0,8175.0,1963.0,False,728141.0,False,False,False,1,1.0,Concrete Block,Other,11021.0,728141.0,62.0,408.83829309376756,4.590117911285795,1.5
12547 Sw 210th St,Miami,33177,25.572165,-80.395692,Single Family,3.0,2.0,1595.0,5066.0,1988.0,False,396023.0,False,False,False,1,1.0,Stucco,Other,6466.0,396023.0,37.0,248.29028213166143,3.1761755485893417,1.5
2922 Sw 92nd Ave,Miami,33165,25.742113,-80.343952,Single Family,4.0,2.0,2945.0,7725.0,1960.0,False,669940.0,False,False,False,1,2.0,Concrete Block,Other,11032.0,669940.0,65.0,227.48387096774192,2.6230899830220715,2.0
70 Nw 77th St,Miami,33150,25.845074,-80.198184,Condo,1.0,1.0,551.0,7500.0,1961.0,True,101401.0,False,False,False,1,1.0,Concrete Block,Other,1879.0,101401.0,64.0,184.03085299455535,13.611615245009075,1.0
480 Ne 31st St,Miami,33137,25.806196,-80.186727,Condo,3.0,3.0,1649.0,7500.0,2018.0,False,1325600.0,False,True,False,1,1.0,Concrete Block,Other,26556.0,1325600.0,7.0,803.8811400848999,4.548211036992116,1.0
11910 Sw 24th Ter,Miami,33175,25.745357,-80.388513,Single Family,4.0,2.0,2487.0,10813.0,1975.0,False,696235.0,False,True,False,1,1.0,Concrete Block,Other,11090.0,696235.0,50.0,279.9497386409329,4.347808604744673,2.0
8250 Sw 25th St,Miami,33155,25.746438,-80.329042,Single Family,3.0,2.0,1515.0,7500.0,1954.0,False,464680.0,False,False,False,3,1.0,Concrete Block,Other,7832.0,464680.0,71.0,306.71947194719473,4.9504950495049505,1.5
1010 Sw 2nd Ave,Miami,33130,25.764079,-80.197811,Condo,1.0,1.0,731.0,7500.0,2016.0,False,285200.0,False,False,False,1,1.0,Concrete Block,Other,5474.0,285200.0,9.0,390.15047879616964,10.259917920656635,1.0
